RAZON SOCIAL;DIRECCIÓN;TELÉFONO;ABIERTO 24 HORAS;ENTIDAD QUE VIGILA
A Y G Pharma Ltda;KR 8 15 78 SUR;3660840;2;San Cristóbal
Abbadi;KR 20 65 99 SUR;7154524;2;Vista Hermosa
Abprt Representaciones Ltda Pharmapiel 3;AC 22 82 00 LC 214;3546266;2;Fontibón
Ahorrafarma;KR 27 41B 48 SUR;6043910;2;Rafael Uribe
Ahorramás;CL 73B SUR 45 21;7173490;2;Vista Hermosa
Alfa Droguerías Y Supermercados;KR 62 167B 68 LC 109;6789248;2;Suba
Alienaza Express;CL 51 SUR 36 45;3867132;2;Tunjuelito
Alindrogas;KR 18Q 71B 52 SUR;7910941;2;Vista Hermosa
Alix Sur;CL 64 BIS SUR 17D 63;7905982;2;Vista Hermosa
Almacen Cafam Exito Chapinero;KR 13 52 70;2102897;2;Chapinero
Almacenes éxito SA;CL 98 17 A 31;2181690;2;Chapinero
Almacenes éxito SA Carulla;CL 125 20 23 LC 2;2150795;2;Usaquén
Almacenes éxito SA Carulla Rosales;CL 72 05 32;2353670;2;Chapinero
Almacenes éxito Sa Droguería Carulla Vivero Pepe Sierra;AK 15 114 A 09 33;2130763;2;Usaquén
AMB Farmaceuticos Y Populares Ltda;KR 7 H 150 21;2740540;2;Usaquén
Ammy;CL 78D SUR 16 38;7913678;2;Vista Hermosa
Andalucia Norte;CL 182 A 10 B 31;6786639;2;Usaquén
Andifarma Ilarco;TV 60 115 58 TO B LC 107;2289126;2;Suba
Arborizadora Alta Taty;TV 22 69A 20 SUR;7165865;2;Vista Hermosa
Asisfarma SA;KR 47 91 84;2182002;2;Chapinero
Asisfarma SA;KR 7 46 75;7043900;2;Chapinero
Asociacion Colombiana De Enfermos De Cancer;KR 7 54 91;2123502;2;Chapinero
Asocoldro;KR 27 A 53 A 33;3126542;2;Chapinero
Atlantis;CL 73 SUR 17C 91;;2;Vista Hermosa
Audi Farma SA;CL 10 18 75 P 3;2017640;2;Centro Oriente
Audifarma Caf Avenida Ferrocarril;KR 97 21 13;4220210;2;Fontibón
Audifarma Ciudad Jardin;CL 27 SUR 26 A 63 SUR;2789444;2;Rafael Uribe
Audifarma CSF Valencia;KR 8 24 32 SUR IN 101;3734051;2;San Cristóbal
Audifarma Del Olaya;CL 27 SUR 22 37;2788085;2;Rafael Uribe
Audifarma El Sociego;CL 19 SUR 10 73;2722192;2;Rafael Uribe
Audifarma El Sociego;CL 22 SUR 10A 30;4660391;1;Rafael Uribe
Audifarma La Calleja;CL 134 17 68;2749326;2;Usaquén
Audifarma La Campiña;CL 146A 92 46 LC 1;6816400;2;Suba
Audifarma La Coruña;AC 68 SUR 47A 10 LC 106;7152962;2;Vista Hermosa
Audifarma Ltda;AC 100 19 61;6353749;2;Chapinero
Audifarma Medichico;AC 145 85 60 LC 01;6858752;2;Suba
Audifarma Monserrat;KR 32 B 4 82;2018504;2;Sur
Audifarma Niza;CL 127 70D 85;2531577;2;Suba
Audifarma SA;CL 67 09 A 27;3213341;2;Chapinero
Audifarma SA;CL 44 07 48;3406729;2;Chapinero
Audifarma SA;AK 14 49 83 LC6;3440571;2;Chapinero
Audifarma SA;KR 13 54 22;5403051;2;Chapinero
Audifarma SA;KR 16 82 36;6102764;2;Chapinero
Audifarma SA;KR 40 67 A 21;6606449;2;Chapinero
Audifarma SA;KR 52 65 A 07;6609884;2;Chapinero
Audifarma SA;CL 146C BIS 91 21;6626021;2;Suba
Audifarma SA;DG 48 SUR 53 84;7248217;2;Tunjuelito
Audifarma SA;KR 49 98 A 18;7432736;2;Chapinero
Audifarma SA (Sosiego);CL 18 SUR 9 12;2782545;2;San Cristóbal
Audifarma Sa Atenas;CL 119 A 7 24;6292813;2;Usaquén
Audifarma Sa Toberin;AK 45 162 52;6794661;2;Usaquén
Audifarma Salud Renal;CL 63 19 18;2480502;2;Chapinero
Audifarma Santa Barbara;CL 138 55 53;6148993;2;Suba
Audifarma SAS;KR 37 22 70 P 1;2686977;2;Chapinero
Audifarma Tunjuelito;CL 51 SUR 8A 10;7602874;2;Rafael Uribe
Audifarma Valencia;KR 7 26 04 SUR;0;2;San Cristóbal
Audifarma Valencia;KR 8 17 44 SUR;2062249;2;San Cristóbal
Aure Sur;CL 94 SUR 5G 12 ESTE;0;2;Usme
Avon Colombia Ltda;KR 91 145 50;3434090;2;Suba
Bayer Munich;TV 18J BIS A 71 34 SUR;7910825;2;Vista Hermosa
Bella Piel;CL 185 45 03 LC 117;2872672;2;Suba
Bella Piel Ltda;CL 185 45 03 LC 3118;6058286;2;Suba
Bella Piel SA;AC 19 28 80 LC A 126;4854115;2;Centro Oriente
Belleza Y Color;KR 55 172 28;6690682;2;Suba
Benito Quinchoa;CL 12 9 5660;;2;Centro Oriente
Bertulio Florez Ortiz;KR 110 68B 63;4424388;2;Engativá
Bestfarma Suba;CL 131C 90 20 LC 1;5369705;2;Suba
Betty;TV 75F 75C 43 SUR;7182475;2;Vista Hermosa
Betzaleel;KR 17A 72 54 SUR;7908186;2;Vista Hermosa
Bienestar Y Piel SAS;KR 19 C 90 14 P 1;6162287;2;Chapinero
Biopharma AB;KR 76 58B 34 SUR;7800953;2;Vista Hermosa
Bolivariana De Drogas;KR 1G 37C 09 SUR;3622591;2;San Cristóbal
Botica;KR 3 138 39 SUR;7708024;2;Usme
Botica Junin;KR 13 45 35;2458561;2;Chapinero
Botica Junin No 65;KR 13 45 35;2455561;2;Chapinero
Botica Mental Marly;KR 9 50 44 LC2;3478979;2;Chapinero
Breccia Salud Ltda;CL 54 25 81 LC178;5082222;2;Chapinero
C S R Droguería;CL 32 SUR 7A 12;2787394;2;San Cristóbal
Cafam;KR 48 F 96 50;6444915;2;Chapinero
Cafam Av Chile;AC 72 14 17;2161347;2;Chapinero
Cafam Ciudad Montes;AK 30 29 39 SUR;7275191;2;Rafael Uribe
Cafam Droguería Cafam Express La Carolina;AC 127 14 30 LC 1;6275598;2;Usaquén
Cafam San Rafael;CL 134 55 30 LC 105;2264539;2;Suba
Cafamilia Casavianca;KR 77C 57Z 05 SUR;7826145;2;Vista Hermosa
Cafesalud Famili Farmacias;CL 45 C 22 59;3233750;2;Chapinero
Cafesalud MP;AK 45 128 B 41 LC 1;7435558;2;Suba
Caja Colombiana De Subsidio Familiar Colsubsidio;CL 72 09 25;2128023;2;Chapinero
Caja Colombiana De Subsidio Familiar Colsubsidio;KR 13 49 55;2454181;2;Chapinero
Caja Colombiana De Subsidio Familiar Colsubsidio;KR 15 97 48;2570320;2;Chapinero
